aX,aY,aZ,gX,gY,gZ
-2.4526,1.1665,-3.8042,159.2407,285.4614,-123.5962
-3.9999,1.3452,-4.0000,-53.5278,-59.1431,-223.5107
-3.9999,0.8893,-3.7103,-60.3638,-649.7802,-314.2700
-3.9835,-2.2114,0.6304,199.2798,-1581.8480,-514.1602
-3.8687,-3.5936,3.0768,-29.5410,-1471.1913,-337.2802
-1.7051,-3.1826,3.9999,-227.5390,-1280.5176,-23.0103
-0.4370,-0.1582,3.9999,31.0669,-540.8325,535.2173
0.5610,3.1610,3.9321,134.3384,-45.4102,404.5410
0.5527,1.3690,3.9287,-111.9385,387.2680,-186.5234
0.4364,-1.0165,2.9681,-148.5596,364.5630,-211.9751
0.3752,-0.4407,2.1400,-15.6250,359.1919,-51.7578
0.2045,0.3461,0.7072,62.6221,395.3247,-51.6968
0.1907,0.2401,0.0958,106.0181,446.7773,-86.9141
0.3260,0.0586,-0.8940,83.4351,429.3823,-71.4722
0.4165,0.0060,-1.0975,8.2397,330.6884,-12.2681
0.4934,-0.0576,-1.1279,-22.5830,281.4331,12.6343
0.5087,-0.0319,-1.0874,-41.8701,207.4585,38.7573
0.5741,0.0029,-0.9515,-40.6494,178.4668,43.0908
0.6320,0.0367,-0.8848,-60.9741,131.4697,48.2788
0.7979,0.0487,-0.7120,-87.4634,111.4502,49.0723
0.8894,0.0013,-0.5271,-127.8076,84.5947,48.2788
0.9789,-0.0614,-0.1604,-122.3755,84.7168,48.9502
0.9609,-0.0526,-0.1426,-102.7222,108.0933,50.9644
0.8855,-0.1240,-0.3712,-101.1352,118.7134,52.7344
0.8425,-0.1465,-0.4545,-98.7549,127.1973,66.8335
0.7640,-0.1288,-0.6315,-104.0649,130.6763,76.0498
0.7540,-0.1661,-0.7168,-119.3237,128.1738,90.8813
0.7632,-0.1531,-0.6235,-107.7881,119.9951,99.6704
0.7423,-0.0519,-0.4969,-82.2754,114.8682,111.0229
0.6583,0.0283,-0.3958,-92.2851,121.8872,108.8257
0.5973,-0.0272,-0.4247,-111.2671,140.1367,105.4077
0.4449,-0.0712,-0.4835,-108.2764,147.5830,110.4736
0.3711,-0.0431,-0.5149,-95.8862,160.2173,120.9717
0.2673,0.0142,-0.5322,-88.3179,163.9404,121.8262
0.1562,0.1433,-0.3286,-57.0068,172.1191,117.5537
0.0762,0.1797,-0.2206,-36.0107,183.8379,111.8774
-0.0857,0.0144,-0.1501,-23.4375,224.6094,101.9287
-0.1797,-0.0514,-0.1489,-33.0200,249.3286,108.7036
-0.4447,0.1364,-0.1371,-47.2412,298.1567,140.1367
-0.6072,0.3035,-0.1223,-49.8657,338.9282,151.7334
-1.0481,0.5663,0.1013,-51.6968,355.6518,144.6533
-1.3682,0.6232,0.2196,-50.9644,409.6679,102.7832
-2.1980,0.4431,0.0831,-53.7720,447.8759,71.8994
-2.7412,0.2898,-0.1047,-56.2744,512.2070,24.5972
-3.8115,0.0986,-0.8809,-74.7070,528.9917,13.7329
-3.9999,-0.0250,-1.5481,-167.3584,489.5630,-2.5024
-3.9999,-0.1312,-2.8741,-210.1440,414.5508,-3.5400
-3.9950,0.2509,-3.2917,-248.3520,126.2207,-21.9116
-3.9940,1.9647,-3.8876,-234.7412,-97.9004,-107.4829
-3.9999,2.7206,-4.0000,-61.1572,-687.3779,-675.4150
-3.9999,0.6611,-3.8492,123.9014,-978.8818,-1153.5645
-3.9999,-1.8873,-2.7374,362.0605,-1425.3539,-1969.5433
-3.9998,-3.9999,-2.0272,218.8721,-1505.0658,-1999.9999
-3.9999,-3.9999,-2.4874,-294.5557,-1817.9930,-1407.5316
-3.9999,-3.9261,3.3611,-169.2505,-1980.1024,-779.6630
-3.9999,-3.9895,3.9999,484.9243,-1596.4965,-85.3271
-3.9999,-3.9999,3.9999,378.5400,-1288.3910,-10.6201
-3.9915,-3.9999,3.9076,338.1958,-1033.2642,164.5508
-3.7916,-3.7709,3.9723,452.5146,-393.6157,397.0337
-2.4207,-2.2489,3.9999,430.3589,-220.8862,347.0459
-1.7137,-1.7421,3.8978,319.2749,-50.3540,208.1299
-0.7482,-1.5016,2.5343,298.1567,-16.3574,179.8706
-0.3422,-1.3162,1.7357,260.0708,-6.4087,168.2739
0.2187,-1.0011,0.8073,208.9233,-2.7466,157.1655
0.2770,-0.9073,0.4618,118.1641,21.1792,126.8310
0.2639,-0.6682,-0.1781,86.3647,19.4702,109.6191
0.2812,-0.6987,-0.2180,25.7568,-31.0059,72.0215
0.4263,-0.6730,0.2495,11.4136,-54.9927,60.4858
0.5260,-0.7010,0.5175,12.0239,-57.3730,35.6445
0.6089,-0.8042,0.4974,16.3574,-39.8560,29.6020
0.6083,-0.7935,0.4017,17.3340,-22.5220,27.5879
0.6176,-0.8729,0.5282,12.1460,-22.0337,26.5503
0.6212,-0.8997,0.6388,9.1553,-6.5308,32.1045
0.5762,-0.7523,0.7079,15.0757,8.6060,36.4380
0.5339,-0.6155,0.6771,30.5786,38.6353,33.7524
0.4712,-0.4364,0.5927,34.1797,49.7436,23.4375
0.4658,-0.4994,0.5818,14.7705,65.2466,-6.6528
0.4734,-0.7014,0.5802,-0.0610,72.6929,-16.9678
0.4725,-0.8256,0.5602,-20.5688,91.7969,-32.3486
0.4276,-1.0898,0.4557,-23.6206,104.0039,-33.7524
0.3815,-1.1232,0.3716,-19.7754,123.7183,-18.8599
0.2903,-1.0496,0.2358,-22.3389,127.9297,-9.2773
0.2703,-1.0253,0.2067,-47.2412,126.5259,2.1973
0.2885,-1.0385,0.2242,-56.3354,125.4272,6.5308
0.3102,-1.0029,0.2069,-53.6499,129.3945,16.0522
0.3573,-0.8354,0.1710,-48.0957,131.4697,17.2119
