aX,aY,aZ,gX,gY,gZ
1.4646,-0.7186,2.8571,33.0200,-166.2598,23.8647
1.3223,-0.2971,1.9933,78.1250,88.1348,51.2695
1.0406,-0.3636,0.6361,37.1704,128.3569,44.1284
1.0033,-0.4722,0.4028,-18.9819,125.6714,47.5464
1.0106,-0.2683,0.4440,-2.6855,115.3564,46.6309
0.9940,-0.1992,0.5266,78.9185,128.4180,14.8315
0.9113,-0.2012,0.2953,115.4175,148.6816,-0.8545
0.8617,-0.1812,0.0739,130.1270,171.5088,-14.9536
0.7968,-0.1477,-0.2570,102.3559,169.3725,-18.7378
0.7828,-0.1990,-0.3639,15.9912,152.5269,-26.7334
0.7944,-0.2581,-0.4833,-13.8550,140.0757,-29.0527
0.8142,-0.2676,-0.4446,-26.7334,110.9009,-36.3159
0.8395,-0.2373,-0.2843,-20.5688,101.5015,-39.9780
0.8342,-0.2180,-0.2271,-4.8828,96.9849,-49.3164
0.7876,-0.3253,-0.2271,-3.1128,100.0976,-52.5513
0.7484,-0.3641,-0.2731,1.7700,108.5815,-46.9360
0.6340,-0.2981,-0.3486,14.9536,111.6943,-43.1519
0.5554,-0.2720,-0.4034,52.0630,121.4600,-45.5322
0.3392,-0.2841,-0.6533,66.1621,127.8076,-50.1099
0.2043,-0.2998,-0.8591,78.0640,131.7749,-63.1103
-0.0626,-0.4825,-1.3862,77.6367,124.2065,-71.1060
-0.1752,-0.6505,-1.6493,85.0220,84.6558,-70.8008
-0.3956,-0.8745,-2.1677,98.7549,53.8330,-60.8520
-0.6154,-0.9564,-2.7041,139.8926,-37.1094,-41.0767
-0.7070,-0.9167,-2.7968,160.8887,-107.2388,-35.7666
-0.9081,-0.7578,-2.6199,221.8628,-279.1138,-51.8188
-0.9874,-0.7701,-2.4169,274.2920,-436.2182,-102.5391
-1.1195,-1.0194,-1.7136,290.0391,-503.4179,-128.7842
-1.1659,-1.1995,-1.2360,302.6123,-605.6519,-168.0298
-1.3398,-1.4926,-0.4423,309.6924,-634.7046,-176.7578
-1.4463,-1.6180,-0.2466,285.9497,-666.6259,-175.1709
-1.6642,-2.0762,-0.0356,230.5298,-684.8754,-156.9214
-1.7802,-2.1193,0.2527,122.6196,-741.3329,-64.9414
