aX,aY,aZ,gX,gY,gZ
0.9403,-0.4552,2.9777,-16.9067,-86.4258,47.6074
0.8098,0.0723,2.3846,71.3501,13.6719,51.8799
0.7062,0.2449,1.9003,100.9521,134.8877,25.3906
0.6462,0.2064,1.2767,80.2002,153.4424,9.7046
0.6837,0.0557,1.1481,37.5977,150.0244,-9.4604
0.7784,-0.1443,1.1091,31.0059,140.2588,-13.3667
0.8062,-0.2012,1.1160,51.8799,140.8081,-21.4844
0.8438,-0.3475,0.9720,60.2417,150.9399,-21.3623
0.8550,-0.3373,0.8942,48.7671,168.1518,-6.4697
0.8492,-0.2422,0.7504,32.0435,176.1474,-0.7935
0.8458,-0.2783,0.6090,0.4883,189.2090,2.5635
0.8582,-0.3262,0.2924,-3.1738,184.9975,6.5308
0.8772,-0.2860,0.2369,-5.0659,159.6069,12.0850
0.9139,-0.2922,0.3104,-13.3057,148.7427,10.7422
0.9242,-0.3501,0.3878,-35.3394,142.7612,12.6953
0.9131,-0.3916,0.4897,-41.4429,148.6816,19.0430
0.8909,-0.3464,0.4731,-36.1938,168.3349,33.4473
0.8213,-0.2579,0.3494,-32.5317,176.5747,37.1094
0.7908,-0.2189,0.2587,-27.2217,186.2793,38.4521
0.7513,-0.1605,0.1144,-28.5645,188.2934,36.6821
0.7363,-0.1434,0.0441,-28.3203,190.7959,31.5552
0.6987,-0.1104,-0.0521,-26.0620,191.2231,28.9917
0.6682,-0.1033,-0.0804,-22.3999,196.4722,23.3765
0.5919,-0.0656,-0.2155,-18.9819,201.4770,21.3623
0.5521,-0.0212,-0.3083,-10.8032,205.3223,16.4185
0.4730,0.0453,-0.4171,-9.0942,203.7964,11.9629
0.4285,0.0566,-0.4434,-8.7280,204.9560,2.0752
0.3301,0.1064,-0.5872,-6.9580,210.0220,-1.8311
0.2831,0.1539,-0.7321,-2.4414,214.2334,-9.7046
0.1925,0.2506,-0.8973,-2.0142,205.9326,-16.1133
0.1371,0.2716,-0.8964,3.8452,185.3027,-35.5225
0.0059,0.3417,-0.9447,11.2305,180.0537,-45.7764
-0.0608,0.3923,-1.0249,18.9209,170.6543,-68.7256
-0.1907,0.4098,-1.2156,16.1133,161.1328,-82.3364
-0.2589,0.3794,-1.2797,4.2725,128.7842,-108.7646
-0.4102,0.3430,-1.2819,1.6479,109.4971,-120.3003
-0.5010,0.3580,-1.2612,7.9956,77.4536,-144.9585
-0.7111,0.4052,-1.3206,14.8926,64.2090,-161.1938
-0.8324,0.4194,-1.3947,36.1938,31.8603,-206.8481
-1.0842,0.4238,-1.5284,53.3447,11.1084,-237.0605
-1.2281,0.3998,-1.5746,97.7173,-33.3252,-310.1196
-1.5466,0.2267,-1.6487,110.5347,-54.8706,-347.6562
-1.7566,0.1863,-1.6652,112.3047,-97.0459,-408.9355
-2.2378,0.1472,-2.1184,84.0454,-113.1592,-436.6455
-2.4886,0.0543,-2.5352,-29.7852,-200.7446,-492.2485
-3.1783,-0.1940,-2.6228,-90.3931,-299.0112,-520.9961
-3.8912,-0.7683,-1.4149,-175.6592,-535.0952,-596.6797
-3.9999,-1.3232,-0.7490,-249.4507,-690.0024,-637.0239
-3.9999,-2.5665,0.4662,-250.4883,-743.9575,-616.3940
-3.9941,-3.0774,1.0806,-211.6699,-785.1562,-505.7373
-3.8046,-3.9728,1.9926,-236.2060,-761.9018,-419.7998
-3.3273,-3.9999,2.3568,-281.2500,-665.7714,-172.7295
-2.0907,-2.8119,2.4999,-227.4780,-581.4819,-54.6875
-1.6847,-1.9944,1.9979,-28.0151,-394.2260,-14.6484
-1.3981,-2.0555,0.4791,39.1846,-340.6982,-57.9834
-1.4218,-2.3467,-0.0046,81.2988,-375.6103,-61.2183
-1.5709,-2.0833,0.3610,78.0029,-429.1382,-31.4941
-1.5609,-1.8719,0.7622,37.2925,-463.6230,-11.2305
-1.3571,-1.6946,0.9407,33.2642,-439.9414,-13.8550
-1.2936,-1.4847,0.4778,61.9507,-381.7749,-12.6343
-1.3241,-1.2491,0.3970,74.0356,-374.5117,-9.0332
-1.2590,-1.0461,0.7767,41.1987,-387.5732,-26.4893
-1.1373,-1.1815,0.9946,-28.0151,-366.0278,-56.3965
-0.8236,-1.4292,1.1631,-21.1182,-337.9516,-55.3589
-0.7094,-1.3756,1.0940,49.9268,-267.3950,-30.1514
-0.6467,-1.0760,0.7396,76.1719,-236.6943,-21.8506
-0.6700,-0.9790,0.5619,67.2607,-206.6040,-26.9165
-0.6663,-1.0250,0.4862,36.0107,-205.8105,-36.1938
-0.6041,-1.1448,0.5398,-16.7847,-205.5054,-49.4995
-0.4634,-1.4091,0.7150,-7.8125,-200.3784,-46.9971
-0.3761,-1.4425,0.7588,-8.4839,-163.5742,-26.9775
-0.2745,-1.2844,0.6078,2.7466,-140.1367,-13.4888
-0.2662,-1.1483,0.5002,38.6353,-105.6518,5.9204
-0.2699,-0.9469,0.3276,33.5693,-95.2148,7.6904
-0.2582,-0.9341,0.2821,1.4648,-84.9609,1.5869
-0.2086,-0.9791,0.2853,-10.3149,-82.3364,-0.6714
-0.1749,-1.0034,0.3130,-15.1367,-73.0591,-1.0376
-0.1112,-1.0702,0.2961,-15.8691,-65.1245,0.1831
-0.0847,-1.0792,0.2373,-12.4512,-49.1333,7.1411
-0.0841,-1.0251,0.2141,-0.9155,-42.4194,12.6343
-0.0750,-0.9303,0.1699,15.1367,-31.2500,18.3105
-0.0648,-0.9266,0.1727,9.7656,-27.8320,17.2729
-0.0314,-0.9800,0.1776,-8.9722,-20.0195,14.0991
-0.0145,-1.0089,0.1604,-10.9253,-8.1177,16.0522
0.0007,-1.0165,0.1010,-6.4697,-2.3804,18.9819
-0.0013,-0.9955,0.0741,3.7842,6.5918,25.0854
-0.0125,-0.9254,0.0010,6.6528,10.2539,26.6724
-0.0177,-0.8920,-0.0391,7.7515,12.4512,24.6582
-0.0192,-0.8590,-0.0876,7.9346,10.9253,21.2402
-0.0121,-0.8749,-0.1034,5.9204,6.1646,12.3901
0.0059,-0.9312,-0.1123,4.5166,3.6621,9.5215
0.0168,-0.9437,-0.0936,9.5215,-1.3428,8.3008
0.0311,-0.9585,-0.0431,9.8267,-1.7700,8.5449
0.0309,-0.9688,-0.0322,7.8735,1.8921,9.3994
0.0168,-0.9448,-0.0748,11.7798,4.0283,9.7046
0.0109,-0.9316,-0.1031,11.4136,3.9673,7.3853
0.0143,-0.9507,-0.0929,5.1270,1.6479,5.4932
0.0221,-0.9663,-0.0540,1.1597,-0.9766,2.3804
0.0447,-1.0386,-0.0189,0.0000,0.9766,1.3428
0.0513,-1.0759,-0.0229,-0.1831,6.7749,4.9438
