timestamp,aX,aY,aZ,gX,gY,gZ
0,1.6554,-0.713,1.4872,-1.77,12.8784,57.0068
10,1.4342,-0.1768,0.9336,8.728,42.7856,54.5654
20,1.3135,-0.1467,0.5898,34.2407,89.0503,27.0996
30,1.118,-0.1598,-0.0006,28.9307,99.4263,24.1089
40,1.0471,-0.0758,-0.1694,6.3477,83.0688,33.5693
50,0.9417,0.0703,-0.2881,-3.8452,73.7915,35.3394
60,0.9106,0.0608,-0.3114,-22.2778,68.1152,36.0107
70,0.8661,-0.0052,-0.3324,-27.832,68.2983,39.978
80,0.8455,-0.0398,-0.3668,-36.7432,71.106,52.3071
90,0.7833,-0.0791,-0.5098,-43.7622,71.9604,59.9976
100,0.7557,-0.0483,-0.6111,-64.1479,65.3076,76.9043
110,0.7649,0.103,-0.6688,-68.5425,53.1616,81.9702
120,0.7916,0.1738,-0.5742,-70.6787,30.3955,76.7822
130,0.8308,0.1912,-0.4677,-73.1201,28.1982,68.5425
140,0.8287,0.1115,-0.5052,-71.9604,30.3345,52.2461
150,0.8158,0.0795,-0.541,-64.7583,31.3721,46.5698
160,0.7977,0.019,-0.5677,-46.0205,30.9448,42.4805
170,0.795,-0.0172,-0.5712,-46.1426,30.5786,44.7388
180,0.7855,-0.0203,-0.6318,-60.4858,31.6772,58.1055
190,0.7809,0.0132,-0.6547,-66.5894,30.7007,65.4297
200,0.7798,0.1266,-0.6263,-71.5942,25.4517,72.6318
210,0.783,0.1697,-0.5831,-65.6738,22.8271,66.5894
220,0.7765,0.1726,-0.4933,-59.6313,24.9634,60.6689
230,0.7577,0.1421,-0.4973,-48.2178,36.5601,52.1851
240,0.7112,0.1105,-0.5734,-45.4102,41.9311,51.6968
250,0.6968,0.1134,-0.5929,-44.3726,47.4853,54.5654
260,0.6899,0.1465,-0.6061,-44.9219,49.6216,56.0303
270,0.6899,0.1672,-0.6117,-49.3774,53.6499,55.1758
280,0.6729,0.1787,-0.6132,-50.354,55.9692,52.6733
290,0.6543,0.1726,-0.6172,-47.7295,62.5,46.814
300,0.6172,0.1295,-0.644,-45.7153,66.1011,44.2505
310,0.6049,0.1063,-0.6647,-40.5273,71.8994,43.0908
320,0.5983,0.0988,-0.7079,-40.8936,73.7305,44.6167
330,0.6002,0.1199,-0.7113,-44.5557,74.585,47.4243
340,0.5909,0.1262,-0.6792,-43.5181,75.6226,46.2036
350,0.5758,0.1117,-0.6705,-37.2314,81.7261,42.4194
360,0.5365,0.0911,-0.6906,-32.7759,85.5102,41.4429
370,0.5118,0.0789,-0.6968,-24.0478,93.5059,41.5039
380,0.4589,0.0557,-0.7529,-23.3154,99.4263,42.7856
390,0.4321,0.0441,-0.8209,-16.9678,109.7412,47.3633
400,0.3806,0.0367,-0.9514,-12.0239,110.2905,51.3916
410,0.3624,0.0358,-0.9877,-17.8223,104.9194,61.7676
420,0.3512,0.0796,-0.9884,-24.231,101.1963,67.688
430,0.347,0.1321,-0.9686,-31.9214,95.0928,75.1343
440,0.3208,0.2083,-0.8872,-32.6538,93.8721,74.4629
450,0.3007,0.2112,-0.8752,-28.6865,97.7783,68.6035
460,0.2531,0.1482,-0.8625,-27.0996,100.2808,66.7114
