timestamp,aX,aY,aZ,gX,gY,gZ
0,0.1954,-0.3691,3.9564,-87.6465,-165.1611,-75.2563
10,0.2551,-0.0287,2.9816,84.9609,64.9414,-9.2773
20,0.2594,0.1852,2.3234,147.9492,189.0259,30.1514
30,0.2656,0.467,1.4791,138.0005,207.6416,36.377
40,0.2592,0.5049,1.2853,84.7168,221.1304,32.959
50,0.2078,0.441,1.2175,54.3213,229.126,31.311
60,0.1531,0.3734,1.2306,32.5317,242.4927,34.729
70,0.0273,0.2804,1.0985,23.5596,286.5601,58.7769
80,-0.0209,0.3258,0.9757,35.2783,307.373,77.7588
90,-0.0668,0.527,0.7225,67.8711,323.2422,114.5019
100,-0.0361,0.5817,0.58,87.7685,319.2749,127.1973
110,-0.0067,0.7058,0.3612,186.7676,288.6963,154.7852
120,-0.0109,0.8062,0.322,214.0503,264.7095,167.2363
130,0.0276,0.8271,0.3647,145.6909,221.0083,162.2925
140,0.059,0.7889,0.3944,84.3506,206.7261,151.7334
150,0.0793,0.7502,0.2939,20.0806,195.8618,134.1553
160,0.0623,0.7594,0.2035,23.8647,190.7348,128.2959
170,0.05,0.7183,0.024,18.1885,170.2881,113.1592
180,0.0593,0.6863,-0.0172,13.4888,153.6255,108.1543
190,0.0844,0.8046,0.0332,-4.8828,113.6475,116.2109
200,0.0975,0.924,0.0771,-19.043,96.6186,120.1172
210,0.1343,1.021,0.116,-6.7139,71.167,108.2153
220,0.1329,1.0021,0.1624,22.4609,58.8379,97.229
230,0.1302,0.9989,0.2537,22.8271,42.7246,76.7212
240,0.1257,0.9607,0.2007,8.606,42.5415,65.7349
250,0.0834,0.9456,0.0638,15.625,33.7524,54.9316
260,0.054,0.9874,0.0139,19.8975,23.2544,53.0395
270,-0.0006,1.0867,-0.0442,13.2446,-4.2114,44.7998
280,-0.0293,1.1132,-0.0493,4.4556,-20.5078,37.4146
290,-0.0979,1.1394,-0.0695,-5.249,-53.5278,20.752
300,-0.1405,1.1359,-0.0875,-3.6011,-89.5386,3.8452
310,-0.2419,1.1523,-0.0565,-11.9629,-110.3516,-2.9907
320,-0.308,1.2458,0.0082,-23.3765,-148.0713,-12.6953
330,-0.4579,1.516,0.0714,-18.6768,-161.7431,-22.7661
340,-0.5248,1.5999,0.0508,13.1226,-190.0635,-65.4297
350,-0.6483,1.5751,0.1357,26.8555,-205.8716,-94.1772
360,-0.6938,1.5024,0.1404,24.292,-220.3369,-153.5034
370,-0.824,1.2927,-0.0734,35.7056,-227.2949,-178.894
380,-0.9237,1.2347,-0.1793,49.4995,-264.4043,-217.5293
390,-1.1786,1.0887,-0.2208,50.1709,-292.4805,-234.8633
400,-1.2732,1.0117,-0.0624,39.1235,-360.9008,-264.8926
410,-1.3093,0.954,0.7269,30.8838,-390.1977,-280.9448
420,-1.2723,1.0011,1.1534,43.0908,-393.4936,-326.1718
430,-1.3292,1.073,1.4213,81.543,-362.1826,-358.1543
440,-1.4988,0.5641,1.1233,163.3911,-290.8325,-449.9511
450,-1.4698,0.0742,1.2529,163.4521,-282.8979,-495.7275
460,-1.1779,-0.4419,2.3402,56.1523,-310.73,-499.0844
470,-1.0267,-0.1262,2.9878,-23.9868,-259.7656,-417.9077
480,-1.049,0.481,3.6167,-36.0718,-189.6973,-418.0908
490,-1.1309,0.1658,3.4329,-22.4609,-37.4146,-476.3183
500,-1.0365,-0.7156,2.6973,0.7935,17.2729,-472.229
510,-0.8638,-0.7078,2.3822,36.0107,78.7964,-393.4936
520,-0.5757,-0.3032,2.0339,20.4468,95.2148,-365.8447
