timestamp,aX,aY,aZ,gX,gY,gZ
0,0.7535,-0.8903,3.5409,-39.3066,-34.3628,6.6528
10,0.5253,0.0129,2.278,38.3911,75.5005,19.5313
20,0.3739,0.1577,1.4111,96.7407,172.8515,-22.8271
30,0.3835,-0.3147,0.0897,64.3921,162.6587,-37.7197
40,0.5034,-0.4825,0.3475,6.897,53.5889,-23.0713
50,0.665,-0.5239,1.4312,12.3291,41.3208,-14.2212
60,0.678,-0.4725,1.3781,66.6504,110.5957,-5.8594
70,0.6812,-0.2692,0.7151,82.2143,133.9111,-2.0142
80,0.7039,-0.2144,0.5376,41.3818,121.2158,-1.3428
90,0.7391,-0.2809,0.674,13.4277,107.3608,-4.3945
100,0.7384,-0.3324,0.791,-10.7422,105.5298,-9.2163
110,0.7277,-0.3827,0.7858,-8.4839,113.7085,-9.0942
120,0.7026,-0.3544,0.6421,2.0752,126.8921,-4.8828
130,0.6901,-0.3083,0.2216,0.1221,123.1689,-4.7607
140,0.7151,-0.318,0.1855,-14.6484,83.8623,-6.1646
150,0.7843,-0.3171,0.5273,-26.1841,65.7959,-5.7373
160,0.8049,-0.3002,0.6747,-39.7339,63.6597,-6.958
170,0.8245,-0.3293,0.709,-36.7432,71.167,-9.3994
180,0.8307,-0.3618,0.7001,-24.7803,84.2895,-8.9722
190,0.83,-0.3367,0.6504,-18.3716,91.1865,-5.8594
200,0.8236,-0.2916,0.6061,-11.6577,100.769,-2.7466
210,0.827,-0.2379,0.5806,-14.4043,102.7222,-4.2114
220,0.8409,-0.2587,0.6066,-26.7944,108.5205,-8.3008
230,0.8546,-0.3059,0.66,-27.9541,115.1123,-8.0566
240,0.8492,-0.3004,0.6279,-19.8364,134.7046,-7.9956
250,0.8322,-0.3376,0.4702,-13.977,143.6157,-9.8877
260,0.827,-0.3572,0.381,-3.7231,153.6865,-9.4604
270,0.8243,-0.3503,0.2097,-3.2959,155.1514,-7.4463
280,0.8232,-0.347,0.1757,-7.8735,150.3906,-6.0425
290,0.823,-0.3845,0.1576,-8.0566,150.0854,-5.6152
300,0.8263,-0.3887,0.0891,-7.9346,154.9072,0.0
310,0.8291,-0.3168,-0.0551,-5.127,153.0151,3.418
320,0.833,-0.3042,-0.1123,-6.4087,143.5547,3.54
330,0.8352,-0.3107,-0.1229,-9.2163,139.2212,2.5024
340,0.8394,-0.3197,-0.1738,-9.7656,132.8735,2.9907
350,0.8434,-0.2931,-0.1948,-8.0566,129.3945,4.8218
360,0.8538,-0.192,-0.1571,-6.0425,121.7651,6.7139
370,0.8539,-0.1395,-0.1542,-2.0752,121.521,1.4038
380,0.8391,-0.0781,-0.2303,-1.8311,122.1924,-3.3569
390,0.8225,-0.0762,-0.251,-6.2866,121.1548,-15.2588
400,0.7705,-0.1185,-0.3193,-8.3618,122.6196,-20.9351
410,0.7417,-0.1343,-0.4053,-11.1694,126.4648,-28.4424
420,0.6704,-0.1514,-0.6013,-12.0239,124.1455,-31.4331
430,0.6279,-0.1733,-0.6652,-8.7891,111.9385,-36.1938
440,0.5338,-0.1731,-0.8075,-3.479,107.2388,-36.6211
450,0.4922,-0.1449,-0.9457,13.0005,96.5576,-41.1377
460,0.4071,-0.1309,-1.2294,23.7427,83.1909,-46.6309
470,0.3748,-0.1,-1.3422,30.6396,40.1611,-55.1147
480,0.3052,-0.0138,-1.4994,28.9917,12.3291,-61.1572
490,0.2617,0.0011,-1.5292,19.2871,-54.1992,-77.8198
500,0.1511,0.0229,-1.4838,12.7563,-88.6841,-87.1582
510,0.0752,0.0181,-1.4791,3.0518,-151.3062,-110.9009
520,-0.151,-0.0133,-1.7412,-0.6104,-183.5937,-124.5727
530,-0.359,-0.0012,-2.1627,7.3853,-284.2407,-160.0342
540,-1.2218,-0.147,-3.3761,10.2539,-380.9814,-189.331
550,-2.9937,-0.6143,-2.9894,-12.146,-704.2846,-261.1084
560,-3.8416,-0.9042,-1.762,-48.4009,-892.3339,-280.8228
570,-3.9999,-2.7676,1.5066,-291.687,-1135.1929,-234.0088
580,-3.9999,-3.4381,3.2258,-502.9907,-1091.7969,118.5913
590,-3.0026,-1.7585,3.9999,-411.9262,-920.227,328.3691
600,-2.2091,-0.4683,3.9999,-71.7773,-511.2915,410.8886
610,-1.0913,-0.1265,3.4705,39.6729,-376.831,311.2793
620,-0.8618,-0.6104,2.9012,66.4673,-239.3799,193.8476
630,-0.6469,-0.5918,2.1488,57.4341,-208.374,206.604
640,-0.5471,-0.3231,2.0464,62.6831,-155.4565,221.2524
650,-0.3987,-0.2051,1.7308,64.5142,-125.4883,210.2051
660,-0.3822,-0.2382,1.5149,40.2832,-84.2285,198.9136
670,-0.4136,-0.3116,1.196,11.3525,-74.2798,201.5381
680,-0.4165,-0.304,1.1516,-36.7432,-77.6978,215.271
690,-0.3501,-0.1382,1.3171,-47.9126,-82.4585,216.98
700,-0.2761,-0.0383,1.4481,-51.5137,-74.646,195.0683
710,-0.1058,0.1949,1.5831,-43.5791,-60.3638,172.9736
720,-0.0325,0.2556,1.5645,-37.7197,-17.334,112.5488
730,0.0254,0.1548,1.329,-43.7012,7.2632,83.0688
740,0.0215,0.0707,1.1598,-51.4526,42.4194,41.8701
750,0.0142,-0.1202,0.9204,-54.1992,48.584,29.0527
760,0.0193,-0.2095,0.8711,-58.3496,44.4946,18.9819
770,0.0594,-0.306,0.871,-57.312,41.0156,19.8364
780,0.0941,-0.3232,0.8789,-49.2554,39.2456,25.3906
790,0.1581,-0.3137,0.8881,-43.7622,39.4897,28.6255
800,0.1814,-0.291,0.8882,-33.3862,40.6494,32.6538
810,0.2089,-0.2284,0.8661,-29.3579,41.0767,32.0435
820,0.2148,-0.1986,0.853,-24.5361,39.5508,24.7192
830,0.2208,-0.1835,0.8418,-25.0854,38.0249,18.7378
840,0.2236,-0.2039,0.8409,-28.8086,34.5459,7.7515
850,0.2291,-0.23,0.8461,-29.6631,32.5928,4.5776
860,0.2323,-0.2362,0.8365,-25.6348,27.5879,0.1831
870,0.2529,-0.2644,0.8213,-25.3296,24.292,-1.2817
880,0.2693,-0.2678,0.833,-26.062,17.0288,-1.0376
890,0.298,-0.2498,0.8838,-24.7803,14.0991,-0.9155
900,0.3164,-0.255,0.9309,-20.6299,12.5732,-1.77
910,0.3153,-0.2462,0.9375,-18.5547,13.1836,-1.709
920,0.3042,-0.2697,0.9323,-15.625,14.1602,-3.2959
930,0.298,-0.288,0.9364,-14.7095,14.2822,-3.479
940,0.2838,-0.2714,0.9491,-10.8032,14.4043,-0.5493
950,0.2805,-0.2686,0.947,-9.5825,14.5874,-0.1831
960,0.2817,-0.2739,0.9487,-11.3525,14.2822,-1.0986
970,0.2825,-0.2688,0.9478,-12.2681,14.0991,-1.1597
980,0.2858,-0.2756,0.9481,-11.7798,13.3057,-1.4648
990,0.2894,-0.2791,0.9519,-13.1836,13.1226,0.4883
